Stage 4 Pd-vs-SNR CA-CFAR Monte Carlo
Mode: full
Trials: 200
Echo SNR axis dB: -40, -38, -36, -34, -32, -30, -28, -26, -24, -22, -20, -18, -16, -14, -12, -10, -8, -6, -4, -2, 0
No RIS model: blocked NLOS baseline with zero target echo amplitude
SNR reference: optimized RIS noiseless beat-signal average sample power
full  | SNR  -40.0 dB |  47/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.005/0.005/0.005
full  | SNR  -40.0 dB |  48/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.005/0.005/0.005
full  | SNR  -40.0 dB |  49/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.005/0.005/0.005
full  | SNR  -40.0 dB |  50/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.005/0.005/0.005
full  | SNR  -40.0 dB |  51/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.005/0.005/0.005
full  | SNR  -40.0 dB |  52/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.005/0.005/0.005
full  | SNR  -40.0 dB |  53/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.005/0.005/0.005
full  | SNR  -40.0 dB |  54/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.005/0.005/0.005
full  | SNR  -40.0 dB |  55/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.005/0.005/0.005
full  | SNR  -40.0 dB |  56/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  57/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  58/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  59/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  60/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  61/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  62/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  63/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  64/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  65/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  66/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  67/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  68/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  69/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  70/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  71/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.004/0.004
full  | SNR  -40.0 dB |  72/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  73/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  74/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  75/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  76/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  77/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  78/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  79/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  80/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  81/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  82/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  83/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  84/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  85/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
