

The following results correspond to Setup_of_BinaryLDPC_BPSK_AWGN0.txt
code rate = 0.500000

0.000000 0.1378374968
1.000000 0.0946402644
2.000000 0.0563750608
3.000000 0.0270340438
4.000000 0.0100272698
5.000000 0.0026121447
6.000000 0.0004344839
7.000000 0.0000476083
8.000000 0.0000043500

The following results correspond to Setup_of_BinaryLDPC_BPSK_AWGN0.txt
